FN,FP,TN,TP,sr,t
0.0,65.0,0.0,2495.0,1,0.38149656410256394
243.1,116.1,12.9,2187.9,1,0.430814923076923
236.7,173.7,19.3,2130.3,1,0.4619041025641029
230.3,231.3,25.7,2072.7,1,0.478987974358975
447.8,256.8,64.2,1791.2,1,0.5058564358974361
435.0,308.0,77.0,1740.0,1,0.514777717948718
0.0,449.0,0.0,2111.0,1,0.5204095384615379
818.8,307.8,205.2,1228.2,1,0.528053435897436
991.5,288.5,288.5,991.5,1,0.566343743589744
959.5,320.5,320.5,959.5,1,0.6127008205128199
185.5,634.5,70.5,1669.5,1,0.637905282051282
716.4,461.4,307.6,1074.6,1,0.732406631578947
345.4,666.4,166.6,1381.6,1,0.7536931794871801
831.5,448.5,448.5,831.5,1,0.908881051282052
1119.3,288.3,672.7,479.7,1,0.925648461538462
1074.5,307.5,717.5,460.5,1,1.24142602702703
882.6,435.6,653.4,588.4,1,1.26169766666667
1266.3,115.3,1037.7,140.7,1,2.01560021052632
940.1,365.1,851.9,402.9,1,2.05687823076923
255.8,1024.8,256.2,1023.2,1,2.08937425641026
972.0,269.0,1076.0,243.0,1,2.15586665
690.6,563.6,845.4,460.4,1,3.1989695384615398
652.2,589.2,883.8,434.8,1,3.25657023076923
511.5,768.5,768.5,511.5,1,5.81297530769231
767.2,320.2,1280.8,191.8,1,5.84338264102564
805.5,166.5,1498.5,89.5,1,6.48749235897436
581.7,518.7,1210.3,249.3,1,6.5250941025641
613.6,358.6,1434.4,153.4,1,10.6980868974359
210.9,1299.9,557.1,492.1,1,10.7357454871795
511.2,384.2,1536.8,127.8,1,10.8896856153846
460.0,397.0,1588.0,115.0,1,10.9212218421053
408.8,409.8,1639.2,102.2,1,19.898601564102602
447.0,0.0,2113.0,0.0,1,19.9770086666667
344.7,217.7,1959.3,38.3,1,21.174593277777802
319.0,0.0,2241.0,0.0,1,21.2547994864865
229.5,230.5,2074.5,25.5,1,37.5557710769231
191.0,0.0,2369.0,0.0,1,37.7354408461539
127.0,0.0,2433.0,0.0,1,38.7889927567568
63.0,0.0,2497.0,0.0,1,38.9492308421053
166.8,46.2,18.8,2328.2,26,0.38149656410256394
105.6,68.2,60.8,2325.4,26,0.430814923076923
174.2,132.0,61.0,2192.8,26,0.4619041025641029
156.8,180.2,76.8,2146.2,26,0.478987974358975
349.8,146.0,175.0,1889.2,26,0.5058564358974361
299.7,179.1,205.9,1875.3,26,0.514777717948718
338.6,190.8,258.2,1772.4,26,0.5204095384615379
300.8,231.4,281.6,1746.2,26,0.528053435897436
235.4,230.0,347.0,1747.6,26,0.566343743589744
217.6,205.8,435.2,1701.4,26,0.6127008205128199
257.6,121.0,584.0,1597.4,26,0.637905282051282
218.8,160.6,608.4,1572.2,26,0.732406631578947
234.7,101.3,731.7,1492.3,26,0.7536931794871801
138.9,120.7,776.3,1524.1,26,0.908881051282052
151.3,117.1,843.9,1447.7,26,0.925648461538462
203.9,25.7,999.3,1331.1,26,1.24142602702703
136.3,54.1,1034.9,1334.7,26,1.26169766666667
51.2,65.0,1088.0,1355.8,26,2.01560021052632
134.3,109.7,1107.3,1208.7,26,2.05687823076923
199.3,94.7,1186.3,1079.7,26,2.08937425641026
95.1,96.1,1248.9,1119.9,26,2.15586665
137.1,54.9,1354.1,1013.9,26,3.1989695384615398
51.4,74.8,1398.2,1035.6,26,3.25657023076923
0.0,26.6,1510.4,1023.0,26,5.81297530769231
126.6,111.6,1489.4,832.4,26,5.84338264102564
149.8,138.0,1527.0,745.2,26,6.48749235897436
257.5,143.3,1585.7,573.5,26,6.5250941025641
83.1,148.1,1644.9,683.9,26,10.6980868974359
247.1,177.7,1679.3,455.9,26,10.7357454871795
295.6,159.0,1762.0,343.4,26,10.8896856153846
220.6,228.0,1757.0,354.4,26,10.9212218421053
111.7,144.7,1904.3,399.3,26,19.898601564102602
175.2,105.8,2007.2,271.8,26,19.9770086666667
127.3,89.9,2087.1,255.7,26,21.174593277777802
186.8,63.0,2178.0,132.2,26,21.2547994864865
184.8,19.4,2285.6,70.2,26,37.5557710769231
130.7,48.5,2320.5,60.3,26,37.7354408461539
108.0,19.4,2413.6,19.0,26,38.7889927567568
63.0,0.0,2497.0,0.0,26,38.9492308421053
63.9,39.3,25.7,2431.1,51,0.38149656410256394
35.2,36.2,92.8,2395.8,51,0.430814923076923
139.2,44.2,148.8,2227.8,51,0.4619041025641029
150.4,74.6,182.4,2152.6,51,0.478987974358975
190.6,121.2,199.8,2048.4,51,0.5058564358974361
213.5,169.7,215.3,1961.5,51,0.514777717948718
246.4,173.0,276.0,1864.6,51,0.5204095384615379
220.7,148.1,364.9,1826.3,51,0.528053435897436
103.3,73.9,503.1,1879.7,51,0.566343743589744
95.9,71.3,569.7,1823.1,51,0.6127008205128199
70.1,103.1,601.9,1784.9,51,0.637905282051282
63.8,90.4,678.6,1727.2,51,0.732406631578947
125.6,56.2,776.8,1601.4,51,0.7536931794871801
54.4,49.0,848.0,1608.6,51,0.908881051282052
101.9,51.7,909.3,1497.1,51,0.925648461538462
67.0,61.6,963.4,1468.0,51,1.24142602702703
92.5,61.5,1027.5,1378.5,51,1.26169766666667
73.5,29.7,1123.3,1333.5,51,2.01560021052632
78.1,66.3,1150.7,1264.9,51,2.05687823076923
102.0,51.8,1229.2,1177.0,51,2.08937425641026
93.5,46.5,1298.5,1121.5,51,2.15586665
38.1,13.5,1395.5,1112.9,51,3.1989695384615398
53.9,38.9,1434.1,1033.1,51,3.25657023076923
0.0,1.0,1536.0,1023.0,51,5.81297530769231
28.9,55.5,1545.5,930.1,51,5.84338264102564
36.5,24.7,1640.3,858.5,51,6.48749235897436
48.8,75.4,1653.6,782.2,51,6.5250941025641
0.0,26.6,1766.4,767.0,51,10.6980868974359
100.9,127.5,1729.5,602.1,51,10.7357454871795
95.2,29.0,1892.0,543.8,51,10.8896856153846
60.8,4.2,1980.8,514.2,51,10.9212218421053
25.5,13.7,2035.3,485.5,51,19.898601564102602
65.4,66.4,2046.6,381.6,51,19.9770086666667
44.4,32.6,2144.4,338.6,51,21.174593277777802
63.4,51.6,2189.4,255.6,51,21.2547994864865
38.2,13.6,2291.4,216.8,51,37.5557710769231
58.8,53.4,2315.6,132.2,51,37.7354408461539
58.7,69.3,2363.7,68.3,51,38.7889927567568
42.6,62.8,2434.2,20.4,51,38.9492308421053
72.3,28.5,36.5,2422.7,76,0.38149656410256394
64.0,13.8,115.2,2367.0,76,0.430814923076923
45.6,69.0,124.0,2321.4,76,0.4619041025641029
68.7,47.3,209.7,2234.3,76,0.478987974358975
125.2,118.2,202.8,2113.8,76,0.5058564358974361
164.9,103.5,281.5,2010.1,76,0.514777717948718
128.1,145.1,303.9,1982.9,76,0.5204095384615379
135.5,90.1,422.9,1911.5,76,0.528053435897436
118.5,97.1,479.9,1864.5,76,0.566343743589744
0.0,13.8,627.2,1919.0,76,0.6127008205128199
50.1,60.7,644.3,1804.9,76,0.637905282051282
31.9,29.7,739.3,1759.1,76,0.732406631578947
65.7,73.1,759.9,1661.3,76,0.7536931794871801
19.2,7.4,889.6,1643.8,76,0.908881051282052
51.7,65.5,895.5,1547.3,76,0.925648461538462
12.7,0.9,1024.1,1522.3,76,1.24142602702703
63.1,44.9,1044.1,1407.9,76,1.26169766666667
12.8,13.8,1139.2,1394.2,76,2.01560021052632
77.9,53.3,1163.7,1265.1,76,2.05687823076923
65.6,44.2,1236.8,1213.4,76,2.08937425641026
60.1,61.1,1283.9,1154.9,76,2.15586665
28.5,16.7,1392.3,1122.5,76,3.1989695384615398
50.6,38.8,1434.2,1036.4,76,3.25657023076923
6.4,25.0,1512.0,1016.6,76,5.81297530769231
38.2,32.8,1568.2,920.8,76,5.84338264102564
15.9,10.5,1654.5,879.1,76,6.48749235897436
79.9,48.9,1680.1,751.1,76,6.5250941025641
0.0,1.0,1792.0,767.0,76,10.6980868974359
74.5,40.3,1816.7,628.5,76,10.7357454871795
6.3,13.7,1907.3,632.7,76,10.8896856153846
44.5,45.5,1939.5,530.5,76,10.9212218421053
0.0,1.0,2048.0,511.0,76,19.898601564102602
62.8,31.8,2081.2,384.2,76,19.9770086666667
44.6,48.8,2128.2,338.4,76,21.174593277777802
68.4,43.8,2197.2,250.6,76,21.2547994864865
0.0,1.0,2304.0,255.0,76,37.5557710769231
44.6,13.6,2355.4,146.4,76,37.7354408461539
31.7,32.7,2400.3,95.3,76,38.7889927567568
42.4,30.6,2466.4,20.6,76,38.9492308421053
54.2,29.6,35.4,2440.8,101,0.38149656410256394
32.0,20.2,108.8,2399.0,101,0.430814923076923
47.5,13.3,179.7,2319.5,101,0.4619041025641029
25.5,13.7,243.3,2277.5,101,0.478987974358975
149.6,107.4,213.6,2089.4,101,0.5058564358974361
171.1,79.3,305.7,2003.9,101,0.514777717948718
157.7,96.3,352.7,1953.3,101,0.5204095384615379
124.5,102.3,410.7,1922.5,101,0.528053435897436
63.5,62.9,514.1,1919.5,101,0.566343743589744
6.4,7.4,633.6,1912.6,101,0.6127008205128199
73.5,36.1,668.9,1781.5,101,0.637905282051282
9.6,20.2,748.8,1781.4,101,0.732406631578947
47.6,10.2,822.8,1679.4,101,0.7536931794871801
9.6,17.0,880.0,1653.4,101,0.908881051282052
57.6,45.0,916.0,1541.4,101,0.925648461538462
25.3,19.9,1005.1,1509.7,101,1.24142602702703
69.9,27.7,1061.3,1401.1,101,1.26169766666667
12.8,1.0,1152.0,1394.2,101,2.01560021052632
63.5,38.9,1178.1,1279.5,101,2.05687823076923
37.2,22.2,1258.8,1241.8,101,2.08937425641026
41.8,30.0,1315.0,1173.2,101,2.15586665
19.0,20.0,1389.0,1132.0,101,3.1989695384615398
24.1,21.9,1451.1,1062.9,101,3.25657023076923
0.0,1.0,1536.0,1023.0,101,5.81297530769231
46.7,10.9,1590.1,912.3,101,5.84338264102564
12.7,13.7,1651.3,882.3,101,6.48749235897436
33.9,25.3,1703.7,797.1,101,6.5250941025641
0.0,1.0,1792.0,767.0,101,10.6980868974359
46.0,32.6,1824.4,657.0,101,10.7357454871795
0.0,1.0,1920.0,639.0,101,10.8896856153846
45.9,19.7,1965.3,529.1,101,10.9212218421053
9.5,0.9,2048.1,501.5,101,19.898601564102602
53.0,18.8,2094.2,394.0,101,19.9770086666667
6.4,20.2,2156.8,376.6,101,21.174593277777802
25.7,49.9,2191.1,293.3,101,21.2547994864865
0.0,1.0,2304.0,255.0,101,37.5557710769231
43.5,12.5,2356.5,147.5,101,37.7354408461539
3.2,10.6,2422.4,123.8,101,38.7889927567568
31.0,44.8,2452.2,32.0,101,38.9492308421053
35.1,32.9,32.1,2459.9,126,0.38149656410256394
12.8,7.4,121.6,2418.2,126,0.430814923076923
33.6,28.2,164.8,2333.4,126,0.4619041025641029
3.1,0.9,256.1,2299.9,126,0.478987974358975
91.9,49.7,271.3,2147.1,126,0.5058564358974361
121.2,97.8,287.2,2053.8,126,0.514777717948718
138.5,66.3,382.7,1972.5,126,0.5204095384615379
103.8,96.0,417.0,1943.2,126,0.528053435897436
61.6,49.8,527.2,1921.4,126,0.566343743589744
2.4,13.0,628.0,1916.6,126,0.6127008205128199
13.7,43.5,661.5,1841.3,126,0.637905282051282
0.0,1.0,768.0,1791.0,126,0.732406631578947
24.7,30.5,802.5,1702.3,126,0.7536931794871801
0.0,1.0,896.0,1663.0,126,0.908881051282052
40.7,41.7,919.3,1558.3,126,0.925648461538462
0.0,1.0,1024.0,1535.0,126,1.24142602702703
39.3,17.9,1071.1,1431.7,126,1.26169766666667
0.0,1.0,1152.0,1407.0,126,2.01560021052632
6.4,13.8,1203.2,1336.6,126,2.05687823076923
1.0,2.0,1279.0,1278.0,126,2.08937425641026
28.9,30.7,1314.3,1186.1,126,2.15586665
6.3,7.3,1401.7,1144.7,126,3.1989695384615398
22.5,39.5,1433.5,1064.5,126,3.25657023076923
6.2,0.8,1536.2,1016.8,126,5.81297530769231
35.6,14.2,1586.8,923.4,126,5.84338264102564
0.0,1.0,1664.0,895.0,126,6.48749235897436
41.2,31.0,1698.0,789.8,126,6.5250941025641
0.0,1.0,1792.0,767.0,126,10.6980868974359
35.0,39.2,1817.8,668.0,126,10.7357454871795
0.0,1.0,1920.0,639.0,126,10.8896856153846
29.8,39.6,1945.4,545.2,126,10.9212218421053
6.3,0.9,2048.1,504.7,126,19.898601564102602
46.3,28.1,2084.9,400.7,126,19.9770086666667
0.0,1.0,2176.0,383.0,126,21.174593277777802
44.2,43.6,2197.4,274.8,126,21.2547994864865
0.0,1.0,2304.0,255.0,126,37.5557710769231
25.9,18.9,2350.1,165.1,126,37.7354408461539
12.7,0.9,2432.1,114.3,126,38.7889927567568
19.8,49.6,2447.4,43.2,126,38.9492308421053
34.7,22.9,42.1,2460.3,151,0.38149656410256394
15.9,0.9,128.1,2415.1,151,0.430814923076923
29.1,26.9,166.1,2337.9,151,0.4619041025641029
8.0,12.2,244.8,2295.0,151,0.478987974358975
36.9,65.1,255.9,2202.1,151,0.5058564358974361
119.1,72.1,312.9,2055.9,151,0.514777717948718
147.9,76.9,372.1,1963.1,151,0.5204095384615379
92.5,75.9,437.1,1954.5,151,0.528053435897436
54.8,20.6,556.4,1928.2,151,0.566343743589744
0.0,1.0,640.0,1919.0,151,0.6127008205128199
39.5,16.5,688.5,1815.5,151,0.637905282051282
6.3,0.9,768.1,1784.7,151,0.732406631578947
30.8,38.2,794.8,1696.2,151,0.7536931794871801
0.0,1.0,896.0,1663.0,151,0.908881051282052
47.6,24.2,936.8,1551.4,151,0.925648461538462
12.8,1.0,1024.0,1522.2,151,1.24142602702703
30.4,23.4,1065.6,1440.6,151,1.26169766666667
0.0,1.0,1152.0,1407.0,151,2.01560021052632
20.7,16.9,1200.1,1322.3,151,2.05687823076923
10.3,1.7,1279.3,1268.7,151,2.08937425641026
36.0,29.0,1316.0,1179.0,151,2.15586665
0.0,1.0,1408.0,1151.0,151,3.1989695384615398
13.3,20.7,1452.3,1073.7,151,3.25657023076923
0.0,1.0,1536.0,1023.0,151,5.81297530769231
19.9,20.9,1580.1,939.1,151,5.84338264102564
0.0,1.0,1664.0,895.0,151,6.48749235897436
33.4,24.8,1704.2,797.6,151,6.5250941025641
0.0,1.0,1792.0,767.0,151,10.6980868974359
44.4,28.6,1828.4,658.6,151,10.7357454871795
0.0,1.0,1920.0,639.0,151,10.8896856153846
32.9,38.7,1946.3,542.1,151,10.9212218421053
0.0,1.0,2048.0,511.0,151,19.898601564102602
27.6,22.2,2090.8,419.4,151,19.9770086666667
0.0,1.0,2176.0,383.0,151,21.174593277777802
38.6,34.8,2206.2,280.4,151,21.2547994864865
0.0,1.0,2304.0,255.0,151,37.5557710769231
30.4,18.6,2350.4,160.6,151,37.7354408461539
3.2,10.6,2422.4,123.8,151,38.7889927567568
31.0,32.0,2465.0,32.0,151,38.9492308421053
34.7,3.7,61.3,2460.3,176,0.38149656410256394
6.3,0.9,128.1,2424.7,176,0.430814923076923
28.1,12.3,180.7,2338.9,176,0.4619041025641029
30.3,26.5,230.5,2272.7,176,0.478987974358975
95.0,75.6,245.4,2144.0,176,0.5058564358974361
85.6,76.2,308.8,2089.4,176,0.514777717948718
111.3,66.7,382.3,1999.7,176,0.5204095384615379
79.0,51.6,461.4,1968.0,176,0.528053435897436
19.8,40.0,537.0,1963.2,176,0.566343743589744
6.3,0.9,640.1,1912.7,176,0.6127008205128199
30.3,15.3,689.7,1824.7,176,0.637905282051282
6.2,0.8,768.2,1784.8,176,0.732406631578947
31.6,11.8,821.2,1695.4,176,0.7536931794871801
3.1,0.9,896.1,1659.9,176,0.908881051282052
42.7,14.1,946.9,1556.3,176,0.925648461538462
6.3,0.9,1024.1,1528.7,176,1.24142602702703
29.9,13.3,1075.7,1441.1,176,1.26169766666667
3.1,0.9,1152.1,1403.9,176,2.01560021052632
20.6,12.0,1205.0,1322.4,176,2.05687823076923
1.0,2.0,1279.0,1278.0,176,2.08937425641026
26.9,34.3,1310.7,1188.1,176,2.15586665
0.0,1.0,1408.0,1151.0,176,3.1989695384615398
9.6,7.4,1465.6,1077.4,176,3.25657023076923
6.3,0.9,1536.1,1016.7,176,5.81297530769231
21.3,14.3,1586.7,937.7,176,5.84338264102564
0.0,1.0,1664.0,895.0,176,6.48749235897436
31.6,24.6,1704.4,799.4,176,6.5250941025641
3.1,0.9,1792.1,763.9,176,10.6980868974359
43.3,24.3,1832.7,659.7,176,10.7357454871795
3.1,0.9,1920.1,635.9,176,10.8896856153846
44.0,13.8,1971.2,531.0,176,10.9212218421053
1.5,0.9,2048.1,509.5,176,19.898601564102602
42.8,19.0,2094.0,404.2,176,19.9770086666667
0.0,1.0,2176.0,383.0,176,21.174593277777802
39.9,18.5,2222.5,279.1,176,21.2547994864865
3.1,0.9,2304.1,251.9,176,37.5557710769231
14.1,8.7,2360.3,176.9,176,37.7354408461539
0.0,1.0,2432.0,127.0,176,38.7889927567568
25.2,19.8,2477.2,37.8,176,38.9492308421053
8.7,6.5,58.5,2486.3,201,0.38149656410256394
9.4,0.8,128.2,2421.6,201,0.430814923076923
7.0,8.0,185.0,2360.0,201,0.4619041025641029
15.2,11.4,245.6,2287.8,201,0.478987974358975
94.3,71.3,249.7,2144.7,201,0.5058564358974361
159.6,85.4,299.6,2015.4,201,0.514777717948718
97.3,68.3,380.7,2013.7,201,0.5204095384615379
85.1,50.9,462.1,1961.9,201,0.528053435897436
46.0,24.6,552.4,1937.0,201,0.566343743589744
0.0,1.0,640.0,1919.0,201,0.6127008205128199
26.1,25.5,679.5,1828.9,201,0.637905282051282
0.0,1.0,768.0,1791.0,201,0.732406631578947
22.9,14.3,818.7,1704.1,201,0.7536931794871801
3.1,0.9,896.1,1659.9,201,0.908881051282052
31.3,29.1,931.9,1567.7,201,0.925648461538462
0.0,1.0,1024.0,1535.0,201,1.24142602702703
25.1,17.3,1071.7,1445.9,201,1.26169766666667
0.0,1.0,1152.0,1407.0,201,2.01560021052632
3.1,0.9,1216.1,1339.9,201,2.05687823076923
1.0,2.0,1279.0,1278.0,201,2.08937425641026
25.8,30.0,1315.0,1189.2,201,2.15586665
0.0,1.0,1408.0,1151.0,201,3.1989695384615398
7.9,2.5,1470.5,1079.1,201,3.25657023076923
0.0,1.0,1536.0,1023.0,201,5.81297530769231
32.1,12.3,1588.7,926.9,201,5.84338264102564
0.0,1.0,1664.0,895.0,201,6.48749235897436
37.8,23.6,1705.4,793.2,201,6.5250941025641
9.5,0.9,1792.1,757.5,201,10.6980868974359
39.7,23.1,1833.9,663.3,201,10.7357454871795
0.0,1.0,1920.0,639.0,201,10.8896856153846
28.1,24.3,1960.7,546.9,201,10.9212218421053
3.1,0.9,2048.1,507.9,201,19.898601564102602
29.8,22.0,2091.0,417.2,201,19.9770086666667
0.0,1.0,2176.0,383.0,201,21.174593277777802
34.6,26.0,2215.0,284.4,201,21.2547994864865
0.0,1.0,2304.0,255.0,201,37.5557710769231
4.6,7.2,2361.8,186.4,201,37.7354408461539
1.5,0.9,2432.1,125.5,201,38.7889927567568
13.6,21.0,2476.0,49.4,201,38.9492308421053
6.4,1.0,64.0,2488.6,226,0.38149656410256394
12.7,0.9,128.1,2418.3,226,0.430814923076923
18.4,16.2,176.8,2348.6,226,0.4619041025641029
8.8,13.0,244.0,2294.2,226,0.478987974358975
46.6,41.2,279.8,2192.4,226,0.5058564358974361
84.6,70.8,314.2,2090.4,226,0.514777717948718
92.0,54.6,394.4,2019.0,226,0.5204095384615379
48.1,37.1,475.9,1998.9,226,0.528053435897436
26.7,13.3,563.7,1956.3,226,0.566343743589744
0.0,1.0,640.0,1919.0,226,0.6127008205128199
23.1,14.5,690.5,1831.9,226,0.637905282051282
0.0,1.0,768.0,1791.0,226,0.732406631578947
27.0,11.2,821.8,1700.0,226,0.7536931794871801
3.1,0.9,896.1,1659.9,226,0.908881051282052
28.0,25.0,936.0,1571.0,226,0.925648461538462
0.0,1.0,1024.0,1535.0,226,1.24142602702703
26.0,23.0,1066.0,1445.0,226,1.26169766666667
0.0,1.0,1152.0,1407.0,226,2.01560021052632
17.3,7.1,1209.9,1325.7,226,2.05687823076923
1.0,2.0,1279.0,1278.0,226,2.08937425641026
37.0,25.2,1319.8,1178.0,226,2.15586665
0.0,1.0,1408.0,1151.0,226,3.1989695384615398
2.5,8.3,1464.7,1084.5,226,3.25657023076923
6.2,0.8,1536.2,1016.8,226,5.81297530769231
20.0,17.0,1584.0,939.0,226,5.84338264102564
0.0,1.0,1664.0,895.0,226,6.48749235897436
33.8,26.8,1702.2,797.2,226,6.5250941025641
0.0,1.0,1792.0,767.0,226,10.6980868974359
36.7,27.3,1829.7,666.3,226,10.7357454871795
0.0,1.0,1920.0,639.0,226,10.8896856153846
44.2,13.2,1971.8,530.8,226,10.9212218421053
7.8,0.8,2048.2,503.2,226,19.898601564102602
45.0,15.6,2097.4,402.0,226,19.9770086666667
0.0,1.0,2176.0,383.0,226,21.174593277777802
26.8,27.0,2214.0,292.2,226,21.2547994864865
0.0,1.0,2304.0,255.0,226,37.5557710769231
10.3,1.7,2367.3,180.7,226,37.7354408461539
0.0,1.0,2432.0,127.0,226,38.7889927567568
13.3,7.9,2489.1,49.7,226,38.9492308421053
1.5,0.9,64.1,2493.5,251,0.38149656410256394
3.1,0.9,128.1,2427.9,251,0.430814923076923
0.9,8.3,184.7,2366.1,251,0.4619041025641029
0.0,1.0,256.0,2303.0,251,0.478987974358975
120.5,80.7,240.3,2118.5,251,0.5058564358974361
139.5,84.5,300.5,2035.5,251,0.514777717948718
111.0,58.8,390.2,2000.0,251,0.5204095384615379
39.3,30.3,482.7,2007.7,251,0.528053435897436
16.3,7.7,569.3,1966.7,251,0.566343743589744
3.1,0.9,640.1,1915.9,251,0.6127008205128199
27.8,12.8,692.2,1827.2,251,0.637905282051282
0.0,1.0,768.0,1791.0,251,0.732406631578947
19.9,23.3,809.7,1707.1,251,0.7536931794871801
0.0,1.0,896.0,1663.0,251,0.908881051282052
31.3,18.7,942.3,1567.7,251,0.925648461538462
3.1,0.9,1024.1,1531.9,251,1.24142602702703
25.9,15.7,1073.3,1445.1,251,1.26169766666667
3.1,0.9,1152.1,1403.9,251,2.01560021052632
6.2,0.8,1216.2,1336.8,251,2.05687823076923
2.1,1.9,1279.1,1276.9,251,2.08937425641026
29.0,15.6,1329.4,1186.0,251,2.15586665
0.0,1.0,1408.0,1151.0,251,3.1989695384615398
2.5,1.9,1471.1,1084.5,251,3.25657023076923
4.6,0.8,1536.2,1018.4,251,5.81297530769231
14.2,21.6,1579.4,944.8,251,5.84338264102564
0.0,1.0,1664.0,895.0,251,6.48749235897436
28.5,20.3,1708.7,802.5,251,6.5250941025641
4.7,0.9,1792.1,762.3,251,10.6980868974359
29.8,26.0,1831.0,673.2,251,10.7357454871795
6.2,0.8,1920.2,632.8,251,10.8896856153846
27.3,19.5,1965.5,547.7,251,10.9212218421053
3.1,0.9,2048.1,507.9,251,19.898601564102602
27.9,17.3,2095.7,419.1,251,19.9770086666667
0.0,1.0,2176.0,383.0,251,21.174593277777802
33.3,21.9,2219.1,285.7,251,21.2547994864865
7.7,0.7,2304.3,247.3,251,37.5557710769231
7.0,1.6,2367.4,184.0,251,37.7354408461539
3.1,0.9,2432.1,123.9,251,38.7889927567568
12.1,10.7,2486.3,50.9,251,38.9492308421053
6.8,0.6,64.4,2488.2,276,0.38149656410256394
6.2,0.8,128.2,2424.8,276,0.430814923076923
2.5,1.9,191.1,2364.5,276,0.4619041025641029
0.0,2.6,254.4,2303.0,276,0.478987974358975
88.7,60.1,260.9,2150.3,276,0.5058564358974361
102.7,67.3,317.7,2072.3,276,0.514777717948718
115.5,60.7,388.3,1995.5,276,0.5204095384615379
60.5,30.7,482.3,1986.5,276,0.528053435897436
14.8,14.2,562.8,1968.2,276,0.566343743589744
0.0,1.0,640.0,1919.0,276,0.6127008205128199
21.5,11.3,693.7,1833.5,276,0.637905282051282
1.5,0.9,768.1,1789.5,276,0.732406631578947
21.2,11.8,821.2,1705.8,276,0.7536931794871801
0.0,1.0,896.0,1663.0,276,0.908881051282052
22.4,17.8,943.2,1576.6,276,0.925648461538462
1.5,0.9,1024.1,1533.5,276,1.24142602702703
27.3,13.1,1075.9,1443.7,276,1.26169766666667
0.0,1.0,1152.0,1407.0,276,2.01560021052632
0.0,1.0,1216.0,1343.0,276,2.05687823076923
7.1,1.7,1279.3,1271.9,276,2.08937425641026
32.3,19.3,1325.7,1182.7,276,2.15586665
0.0,1.0,1408.0,1151.0,276,3.1989695384615398
10.2,1.6,1471.4,1076.8,276,3.25657023076923
0.0,1.0,1536.0,1023.0,276,5.81297530769231
29.6,9.0,1592.0,929.4,276,5.84338264102564
0.0,1.0,1664.0,895.0,276,6.48749235897436
33.8,24.0,1705.0,797.2,276,6.5250941025641
0.0,1.0,1792.0,767.0,276,10.6980868974359
34.2,21.6,1835.4,668.8,276,10.7357454871795
4.6,0.8,1920.2,634.4,276,10.8896856153846
32.6,20.8,1964.2,542.4,276,10.9212218421053
1.5,0.9,2048.1,509.5,276,19.898601564102602
26.5,16.3,2096.7,420.5,276,19.9770086666667
0.0,1.0,2176.0,383.0,276,21.174593277777802
31.3,22.7,2218.3,287.7,276,21.2547994864865
0.0,1.0,2304.0,255.0,276,37.5557710769231
11.7,3.1,2365.9,179.3,276,37.7354408461539
0.7,0.9,2432.1,126.3,276,38.7889927567568
4.8,8.2,2488.8,58.2,276,38.9492308421053
3.1,0.9,64.1,2491.9,301,0.38149656410256394
0.0,1.0,128.0,2431.0,301,0.430814923076923
4.0,1.8,191.2,2363.0,301,0.4619041025641029
2.3,0.9,256.1,2300.7,301,0.478987974358975
45.7,42.7,278.3,2193.3,301,0.5058564358974361
93.9,46.5,338.5,2081.1,301,0.514777717948718
64.3,37.3,411.7,2046.7,301,0.5204095384615379
39.9,26.5,486.5,2007.1,301,0.528053435897436
14.2,6.4,570.6,1968.8,301,0.566343743589744
0.0,1.0,640.0,1919.0,301,0.6127008205128199
21.8,11.2,693.8,1833.2,301,0.637905282051282
0.0,1.0,768.0,1791.0,301,0.732406631578947
16.3,19.7,813.3,1710.7,301,0.7536931794871801
0.0,1.0,896.0,1663.0,301,0.908881051282052
29.0,16.4,944.6,1570.0,301,0.925648461538462
7.7,0.7,1024.3,1527.3,301,1.24142602702703
25.6,15.0,1074.0,1445.4,301,1.26169766666667
3.1,0.9,1152.1,1403.9,301,2.01560021052632
0.7,0.9,1216.1,1342.3,301,2.05687823076923
2.5,1.9,1279.1,1276.5,301,2.08937425641026
36.0,15.4,1329.6,1179.0,301,2.15586665
1.5,0.9,1408.1,1149.5,301,3.1989695384615398
9.9,1.3,1471.7,1077.1,301,3.25657023076923
1.5,0.9,1536.1,1021.5,301,5.81297530769231
14.4,11.4,1589.6,944.6,301,5.84338264102564
1.5,0.9,1664.1,893.5,301,6.48749235897436
34.4,15.8,1713.2,796.6,301,6.5250941025641
6.1,0.7,1792.3,760.9,301,10.6980868974359
28.9,24.3,1832.7,674.1,301,10.7357454871795
0.0,1.0,1920.0,639.0,301,10.8896856153846
34.5,20.3,1964.7,540.5,301,10.9212218421053
3.0,0.8,2048.2,508.0,301,19.898601564102602
30.5,16.7,2096.3,416.5,301,19.9770086666667
0.0,1.0,2176.0,383.0,301,21.174593277777802
28.1,25.5,2215.5,290.9,301,21.2547994864865
1.5,0.9,2304.1,253.5,301,37.5557710769231
6.1,3.1,2365.9,184.9,301,37.7354408461539
0.0,1.0,2432.0,127.0,301,38.7889927567568
7.6,12.6,2484.4,55.4,301,38.9492308421053
3.9,6.5,58.5,2491.1,326,0.38149656410256394
0.0,1.0,128.0,2431.0,326,0.430814923076923
2.5,1.9,191.1,2364.5,326,0.4619041025641029
0.0,1.0,256.0,2303.0,326,0.478987974358975
